city,city_bis,city_nospace,city_nospace_bis,city_formatted
ozan,ozan,ozan,ozan,Ozan
cormoranche sur saone,cormoranche sur saone,cormoranchesursaone,cormoranchesursaone,Cormoranche-Sur-Saone
plagne,plagne,plagne,plagne,Plagne
tossiat,tossiat,tossiat,tossiat,Tossiat
pouillat,pouillat,pouillat,pouillat,Pouillat
torcieu,torcieu,torcieu,torcieu,Torcieu
replonges,replonges,replonges,replonges,Replonges
corcelles,corcelles,corcelles,corcelles,Corcelles
peron,peron,peron,peron,Peron
relevant,relevant,relevant,relevant,Relevant
chaveyriat,chaveyriat,chaveyriat,chaveyriat,Chaveyriat
vaux en bugey,vaux en bugey,vauxenbugey,vauxenbugey,Vaux-En-Bugey
maillat,maillat,maillat,maillat,Maillat
faramans,faramans,faramans,faramans,Faramans
beon,beon,beon,beon,Beon
saint bernard,st bernard,saintbernard,stbernard,Saint-Bernard
rossillon,rossillon,rossillon,rossillon,Rossillon
pont d ain,pont d ain,pontdain,pontdain,Pont-D-Ain
nantua,nantua,nantua,nantua,Nantua
chavannes sur reyssouze,chavannes sur reyssouze,chavannessurreyssouze,chavannessurreyssouze,Chavannes-Sur-Reyssouze
neuville les dames,neuville les dames,neuvillelesdames,neuvillelesdames,Neuville-Les-Dames
flaxieu,flaxieu,flaxieu,flaxieu,Flaxieu
hotonnes,hotonnes,hotonnes,hotonnes,Hotonnes
saint sorlin en bugey,st sorlin en bugey,saintsorlinenbugey,stsorlinenbugey,Saint-Sorlin-En-Bugey
songieu,songieu,songieu,songieu,Songieu
virieu le petit,virieu le petit,virieulepetit,virieulepetit,Virieu-Le-Petit
saint denis en bugey,st denis en bugey,saintdenisenbugey,stdenisenbugey,Saint-Denis-En-Bugey
charnoz sur ain,charnoz sur ain,charnozsurain,charnozsurain,Charnoz-Sur-Ain
chazey sur ain,chazey sur ain,chazeysurain,chazeysurain,Chazey-Sur-Ain
marchamp,marchamp,marchamp,marchamp,Marchamp
culoz,culoz,culoz,culoz,Culoz
mantenay montlin,mantenay montlin,mantenaymontlin,mantenaymontlin,Mantenay-Montlin
marboz,marboz,marboz,marboz,Marboz
foissiat,foissiat,foissiat,foissiat,Foissiat
treffort cuisiat,treffort cuisiat,treffortcuisiat,treffortcuisiat,Treffort-Cuisiat
izieu,izieu,izieu,izieu,Izieu
